premise,hypothesis,extra,label,generic,concept,hyp_type_pl,reasoning_steps,reasoning_type,extra_type
Wild chimpanzees eat meat. Dofiks are wild chimpanzees. Bafus are Dofiks.,Bafus eat meat.,Dofiks eat meat,S,Wild chimpanzees eat meat.,Wild chimpanzees,Bafus,2,S-case,Nonsense
Wild chimpanzees eat meat. Dofiks are wild chimpanzees. Bafus are Dofiks.,Bafus eat meat.,Dofiks do not eat meat,W,Wild chimpanzees eat meat.,Wild chimpanzees,Bafus,2,W-case,Nonsense
Dogs give birth to dogs. A Wumox is a dog.,A Wumox gives birth to dogs.,A dalmatian is a dog. A dalmatian gives birth to dogs.,S,Dogs give birth to dogs.,Dogs,Wumoxes,1,S-case,Real
Dogs give birth to dogs. A Wumox is a dog.,A Wumox gives birth to dogs.,A Bafu is a dog. A Bafu gives birth to dogs.,S,Dogs give birth to dogs.,Dogs,Wumoxes,1,S-case,Nonsense
Dogs give birth to dogs. A Wumox is a dog.,A Wumox gives birth to dogs.,Humans are dogs. Humans do not give birth to dogs.,W,Dogs give birth to dogs.,Dogs,Wumoxes,1,W-case,Real
Dogs give birth to dogs. A Wumox is a dog.,A Wumox gives birth to dogs.,A Bafu is a dog. Bafus do not give birth to dogs.,W,Dogs give birth to dogs.,Dogs,Wumoxes,1,W-case,Nonsense
Dogs give birth to dogs. A Wumox is a dog.,A Wumox gives birth to dogs.,Dogs give you a wagging tail and a wet nose.,N,Dogs give birth to dogs.,Dogs,Wumoxes,1,N-prop,Real
Dogs give birth to dogs. A dalmatian is a dog. A Wumox is a dalmatian.,A Wumox gives birth to dogs.,A dalmatian gives birth to dogs.,S,Dogs give birth to dogs.,Dogs,Wumoxes,2,S-case,Real
Dogs give birth to dogs. Humans are dogs. Wumoxes are humans.,A Wumox gives birth to dogs.,Humans do not give birth to dogs.,W,Dogs give birth to dogs.,Dogs,Wumoxes,2,W-case,Real
Dogs give birth to dogs. A Goq is a dog. A Wumox is a Goq.,A Wumox gives birth to dogs.,A Goq gives birth to dogs,S,Dogs give birth to dogs.,Dogs,Wumoxes,2,S-case,Nonsense
Dogs give birth to dogs. A Goq is a dog. A Wumox is a Goq.,A Wumox gives birth to dogs.,Goqs do not give birth to dogs,W,Dogs give birth to dogs.,Dogs,Wumoxes,2,W-case,Nonsense
Parathyroid hormones have effects. A Goq is a parathyroid hormone.,A Goq has effects.,A parathyroid hormone-related peptide (pthrp) is a parathyroid hormone. A parathyroid hormone-related peptide (pthrp) have effects.,S,Parathyroid hormones have effects.,Parathyroid hormones,Goqs,1,S-case,Real
Parathyroid hormones have effects. A Goq is a parathyroid hormone.,A Goq has effects.,A Dofik is a parathyroid hormone. A Dofik have effects.,S,Parathyroid hormones have effects.,Parathyroid hormones,Goqs,1,S-case,Nonsense
Parathyroid hormones have effects. A Goq is a parathyroid hormone.,A Goq has effects.,Parathyroid hormones that are not able to attach to a receptor are parathyroid hormones. Parathyroid hormones that are not able to attach to a receptor do not have effects.,W,Parathyroid hormones have effects.,Parathyroid hormones,Goqs,1,W-case,Real
Parathyroid hormones have effects. A Goq is a parathyroid hormone.,A Goq has effects.,A Dofik is a parathyroid hormone. Dofiks do not have effects.,W,Parathyroid hormones have effects.,Parathyroid hormones,Goqs,1,W-case,Nonsense
Parathyroid hormones have effects. A Goq is a parathyroid hormone.,A Goq has effects.,Prostaglandins are not parathyroid hormones. Prostaglandins have effects.,N,Parathyroid hormones have effects.,Parathyroid hormones,Goqs,1,S-alt,Real
Parathyroid hormones have effects. A Goq is a parathyroid hormone.,A Goq has effects.,A Dofik is not a parathyroid hormone. A Dofik have effects.,N,Parathyroid hormones have effects.,Parathyroid hormones,Goqs,1,S-alt,Nonsense
Parathyroid hormones have effects. A parathyroid hormone-related peptide (pthrp) is a parathyroid hormone. A Goq is a parathyroid hormone-related peptide (pthrp).,A Goq has effects.,A parathyroid hormone-related peptide (pthrp) have effects.,S,Parathyroid hormones have effects.,Parathyroid hormones,Goqs,2,S-case,Real
Parathyroid hormones have effects. Parathyroid hormones that are not able to attach to a receptor are parathyroid hormones. Goqs are parathyroid hormones that are not able to attach to a receptor.,A Goq has effects.,Parathyroid hormones that are not able to attach to a receptor do not have effects.,W,Parathyroid hormones have effects.,Parathyroid hormones,Goqs,2,W-case,Real
Parathyroid hormones have effects. A Yeb is a parathyroid hormone. A Goq is a Yeb.,A Goq has effects.,A Yeb have effects,S,Parathyroid hormones have effects.,Parathyroid hormones,Goqs,2,S-case,Nonsense
Parathyroid hormones have effects. A Yeb is a parathyroid hormone. A Goq is a Yeb.,A Goq has effects.,Yebs do not have effects,W,Parathyroid hormones have effects.,Parathyroid hormones,Goqs,2,W-case,Nonsense
Foxes eat mice. A Wumox is a fox.,A Wumox eats mice.,An arctic fox is a fox. An arctic fox eats mice.,S,Foxes eat mice.,Foxes,Wumoxes,1,S-case,Real
Foxes eat mice. A Wumox is a fox.,A Wumox eats mice.,A Bafu is a fox. A Bafu eats mice.,S,Foxes eat mice.,Foxes,Wumoxes,1,S-case,Nonsense
Foxes eat mice. A Wumox is a fox.,A Wumox eats mice.,Foxes that live in an area where there are no mice are foxes. Foxes that live in an area where there are no mice do not eat mice.,W,Foxes eat mice.,Foxes,Wumoxes,1,W-case,Real
Foxes eat mice. A Wumox is a fox.,A Wumox eats mice.,A Bafu is a fox. Bafus do not eat mice.,W,Foxes eat mice.,Foxes,Wumoxes,1,W-case,Nonsense
Foxes eat mice. A Wumox is a fox.,A Wumox eats mice.,Snakes are not foxes. Snakes eat mice.,N,Foxes eat mice.,Foxes,Wumoxes,1,S-alt,Real
Foxes eat mice. A Wumox is a fox.,A Wumox eats mice.,A Bafu is not a fox. A Bafu eats mice.,N,Foxes eat mice.,Foxes,Wumoxes,1,S-alt,Nonsense
Foxes eat mice. A Wumox is a fox.,A Wumox eats mice.,Foxes eat fruits and vegetables.,N,Foxes eat mice.,Foxes,Wumoxes,1,N-prop,Real
Foxes eat mice. An arctic fox is a fox. A Wumox is an arctic fox.,A Wumox eats mice.,An arctic fox eats mice.,S,Foxes eat mice.,Foxes,Wumoxes,2,S-case,Real
Foxes eat mice. Foxes that live in an area where there are no mice are foxes. Wumoxes are foxes that live in an area where there are no mice.,A Wumox eats mice.,Foxes that live in an area where there are no mice do not eat mice.,W,Foxes eat mice.,Foxes,Wumoxes,2,W-case,Real
Foxes eat mice. A Goq is a fox. A Wumox is a Goq.,A Wumox eats mice.,A Goq eats mice,S,Foxes eat mice.,Foxes,Wumoxes,2,S-case,Nonsense
Foxes eat mice. A Goq is a fox. A Wumox is a Goq.,A Wumox eats mice.,Goqs do not eat mice,W,Foxes eat mice.,Foxes,Wumoxes,2,W-case,Nonsense
Pigs reach puberty. Dofiks are pigs.,Dofiks reach puberty.,Boars are pigs. Boars reach puberty.,S,Pigs reach puberty.,Pigs,Dofiks,1,S-case,Real
Pigs reach puberty. Dofiks are pigs.,Dofiks reach puberty.,Yebs are pigs. Yebs reach puberty.,S,Pigs reach puberty.,Pigs,Dofiks,1,S-case,Nonsense
Pigs reach puberty. Dofiks are pigs.,Dofiks reach puberty.,Pigs that are malnourished are pigs. Pigs that are malnourished do not reach puberty.,W,Pigs reach puberty.,Pigs,Dofiks,1,W-case,Real
Pigs reach puberty. Dofiks are pigs.,Dofiks reach puberty.,Yebs are pigs. Yebs do not reach puberty.,W,Pigs reach puberty.,Pigs,Dofiks,1,W-case,Nonsense
Pigs reach puberty. Dofiks are pigs.,Dofiks reach puberty.,Humans are not pigs. Humans reach puberty.,N,Pigs reach puberty.,Pigs,Dofiks,1,S-alt,Real
Pigs reach puberty. Dofiks are pigs.,Dofiks reach puberty.,Yebs are not pigs. Yebs reach puberty.,N,Pigs reach puberty.,Pigs,Dofiks,1,S-alt,Nonsense
Pigs reach puberty. Dofiks are pigs.,Dofiks reach puberty.,Pigs reach the market.,N,Pigs reach puberty.,Pigs,Dofiks,1,N-prop,Real
Pigs reach puberty. Boars are pigs. Dofiks are boars.,Dofiks reach puberty.,Boars reach puberty.,S,Pigs reach puberty.,Pigs,Dofiks,2,S-case,Real
Pigs reach puberty. Pigs that are malnourished are pigs. Dofiks are pigs that are malnourished.,Dofiks reach puberty.,Pigs that are malnourished do not reach puberty.,W,Pigs reach puberty.,Pigs,Dofiks,2,W-case,Real
Pigs reach puberty. Wumoxes are pigs. Dofiks are Wumoxes.,Dofiks reach puberty.,Wumoxes reach puberty,S,Pigs reach puberty.,Pigs,Dofiks,2,S-case,Nonsense
Pigs reach puberty. Wumoxes are pigs. Dofiks are Wumoxes.,Dofiks reach puberty.,Wumoxes do not reach puberty,W,Pigs reach puberty.,Pigs,Dofiks,2,W-case,Nonsense
Zebras have molars. A Dofik is a zebra.,A Dofik has molars.,A zebra is a zebra. A zebras are in the horse family has molars.,S,Zebras have molars.,Zebras,Dofiks,1,S-case,Real
Zebras have molars. A Dofik is a zebra.,A Dofik has molars.,A Yeb is a zebra. A Yeb s are in the horse family has molars.,S,Zebras have molars.,Zebras,Dofiks,1,S-case,Nonsense
Zebras have molars. A Dofik is a zebra.,A Dofik has molars.,Zebras that have lost their molars are zebras. Zebras that have lost their molars do not have molars.,W,Zebras have molars.,Zebras,Dofiks,1,W-case,Real
Zebras have molars. A Dofik is a zebra.,A Dofik has molars.,A Yeb is a zebra. Yebs do not have molars.,W,Zebras have molars.,Zebras,Dofiks,1,W-case,Nonsense
Zebras have molars. A Dofik is a zebra.,A Dofik has molars.,Hippopotamuses are not zebras. Hippopotamuses have molars.,N,Zebras have molars.,Zebras,Dofiks,1,S-alt,Real
Zebras have molars. A Dofik is a zebra.,A Dofik has molars.,A Yeb is not a zebra. A Yeb s are in the horse family has molars.,N,Zebras have molars.,Zebras,Dofiks,1,S-alt,Nonsense
Zebras have molars. A Dofik is a zebra.,A Dofik has molars.,Zebras have a black and white coat.,N,Zebras have molars.,Zebras,Dofiks,1,N-prop,Real
Zebras have molars. A zebra is a zebra. A Dofik is a zebra.,A Dofik has molars.,A zebras are in the horse family has molars.,S,Zebras have molars.,Zebras,Dofiks,2,S-case,Real
Zebras have molars. Zebras that have lost their molars are zebras. Dofiks are zebras that have lost their molars.,A Dofik has molars.,Zebras that have lost their molars do not have molars.,W,Zebras have molars.,Zebras,Dofiks,2,W-case,Real
Zebras have molars. A Wumox is a zebra. A Dofik is a Wumox.,A Dofik has molars.,A Wumox s are in the horse family has molars,S,Zebras have molars.,Zebras,Dofiks,2,S-case,Nonsense
Zebras have molars. A Wumox is a zebra. A Dofik is a Wumox.,A Dofik has molars.,Wumoxes do not have molars,W,Zebras have molars.,Zebras,Dofiks,2,W-case,Nonsense
Yaks have few sweat glands. Wumoxes are yaks.,Wumoxes have few sweat glands.,Pygmy yaks are yaks. Pygmy yaks have few sweat glands.,S,Yaks have few sweat glands.,Yaks,Wumoxes,1,S-case,Real
Yaks have few sweat glands. Wumoxes are yaks.,Wumoxes have few sweat glands.,Bafus are yaks. Bafus have few sweat glands.,S,Yaks have few sweat glands.,Yaks,Wumoxes,1,S-case,Nonsense
Yaks have few sweat glands. Wumoxes are yaks.,Wumoxes have few sweat glands.,Yaks that are in an environment with high levels of bacteria are yaks. Yaks that are in an environment with high levels of bacteria do not have few sweat glands.,W,Yaks have few sweat glands.,Yaks,Wumoxes,1,W-case,Real
Yaks have few sweat glands. Wumoxes are yaks.,Wumoxes have few sweat glands.,Bafus are yaks. Bafus do not have few sweat glands.,W,Yaks have few sweat glands.,Yaks,Wumoxes,1,W-case,Nonsense
Yaks have few sweat glands. Wumoxes are yaks.,Wumoxes have few sweat glands.,Elephants are not yaks. Elephants have few sweat glands.,N,Yaks have few sweat glands.,Yaks,Wumoxes,1,S-alt,Real
Yaks have few sweat glands. Wumoxes are yaks.,Wumoxes have few sweat glands.,Bafus are not yaks. Bafus have few sweat glands.,N,Yaks have few sweat glands.,Yaks,Wumoxes,1,S-alt,Nonsense
Yaks have few sweat glands. Wumoxes are yaks.,Wumoxes have few sweat glands.,"Yaks have a long, shaggy coat of hair.",N,Yaks have few sweat glands.,Yaks,Wumoxes,1,N-prop,Real
Yaks have few sweat glands. Pygmy yaks are yaks. Wumoxes are pygmy yaks.,Wumoxes have few sweat glands.,Pygmy yaks have few sweat glands.,S,Yaks have few sweat glands.,Yaks,Wumoxes,2,S-case,Real
Yaks have few sweat glands. Yaks that are in an environment with high levels of bacteria are yaks. Wumoxes are yaks that are in an environment with high levels of bacteria.,Wumoxes have few sweat glands.,Yaks that are in an environment with high levels of bacteria do not have few sweat glands.,W,Yaks have few sweat glands.,Yaks,Wumoxes,2,W-case,Real
Yaks have few sweat glands. Goqs are yaks. Wumoxes are Goqs.,Wumoxes have few sweat glands.,Goqs have few sweat glands,S,Yaks have few sweat glands.,Yaks,Wumoxes,2,S-case,Nonsense
Yaks have few sweat glands. Goqs are yaks. Wumoxes are Goqs.,Wumoxes have few sweat glands.,Goqs do not have few sweat glands,W,Yaks have few sweat glands.,Yaks,Wumoxes,2,W-case,Nonsense
Dolphin fetuses develop limbs. Bafus are dolphin fetuses.,Bafus develop limbs.,Aquatic mammals with flippers are dolphin fetuses. Aquatic mammals with flippers develop limbs.,S,Dolphin fetuses develop limbs.,Dolphin fetuses,Bafus,1,S-case,Real
Dolphin fetuses develop limbs. Bafus are dolphin fetuses.,Bafus develop limbs.,Goqs are dolphin fetuses. Goqs develop limbs.,S,Dolphin fetuses develop limbs.,Dolphin fetuses,Bafus,1,S-case,Nonsense
Dolphin fetuses develop limbs. Bafus are dolphin fetuses.,Bafus develop limbs.,"Dolphin fetuses that develop a form of sirenomelia, where their legs are fused together are dolphin fetuses. Dolphin fetuses that develop a form of sirenomelia, where their legs are fused together do not develop limbs.",W,Dolphin fetuses develop limbs.,Dolphin fetuses,Bafus,1,W-case,Real
Dolphin fetuses develop limbs. Bafus are dolphin fetuses.,Bafus develop limbs.,Goqs are dolphin fetuses. Goqs do not develop limbs.,W,Dolphin fetuses develop limbs.,Dolphin fetuses,Bafus,1,W-case,Nonsense
Dolphin fetuses develop limbs. Bafus are dolphin fetuses.,Bafus develop limbs.,Amphibians are not dolphin fetuses. Amphibians develop limbs.,N,Dolphin fetuses develop limbs.,Dolphin fetuses,Bafus,1,S-alt,Real
Dolphin fetuses develop limbs. Bafus are dolphin fetuses.,Bafus develop limbs.,Goqs are not dolphin fetuses. Goqs develop limbs.,N,Dolphin fetuses develop limbs.,Dolphin fetuses,Bafus,1,S-alt,Nonsense
Dolphin fetuses develop limbs. Bafus are dolphin fetuses.,Bafus develop limbs.,Dolphin fetuses develop a dorsal fin and flippers.,N,Dolphin fetuses develop limbs.,Dolphin fetuses,Bafus,1,N-prop,Real
Dolphin fetuses develop limbs. Aquatic mammals with flippers are dolphin fetuses. Bafus are aquatic mammals with flippers.,Bafus develop limbs.,Aquatic mammals with flippers develop limbs.,S,Dolphin fetuses develop limbs.,Dolphin fetuses,Bafus,2,S-case,Real
"Dolphin fetuses develop limbs. Dolphin fetuses that develop a form of sirenomelia, where their legs are fused together are dolphin fetuses. Bafus are dolphin fetuses that develop a form of sirenomelia, where their legs are fused together.",Bafus develop limbs.,"Dolphin fetuses that develop a form of sirenomelia, where their legs are fused together do not develop limbs.",W,Dolphin fetuses develop limbs.,Dolphin fetuses,Bafus,2,W-case,Real
Dolphin fetuses develop limbs. Dofiks are dolphin fetuses. Bafus are Dofiks.,Bafus develop limbs.,Dofiks develop limbs,S,Dolphin fetuses develop limbs.,Dolphin fetuses,Bafus,2,S-case,Nonsense
Dolphin fetuses develop limbs. Dofiks are dolphin fetuses. Bafus are Dofiks.,Bafus develop limbs.,Dofiks do not develop limbs,W,Dolphin fetuses develop limbs.,Dolphin fetuses,Bafus,2,W-case,Nonsense
Gazelles survive in deserts. A Yeb is a gazelle.,A Yeb survives in deserts.,A red-fronted gazelle is a gazelle. A red-fronted gazelle survives in deserts.,S,Gazelles survive in deserts.,Gazelles,Yebs,1,S-case,Real
Gazelles survive in deserts. A Yeb is a gazelle.,A Yeb survives in deserts.,A Wumox is a gazelle. A Wumox survives in deserts.,S,Gazelles survive in deserts.,Gazelles,Yebs,1,S-case,Nonsense
Gazelles survive in deserts. A Yeb is a gazelle.,A Yeb survives in deserts.,Gazelles that are not able to find food and water are gazelles. Gazelles that are not able to find food and water do not survive in deserts.,W,Gazelles survive in deserts.,Gazelles,Yebs,1,W-case,Real
Gazelles survive in deserts. A Yeb is a gazelle.,A Yeb survives in deserts.,A Wumox is a gazelle. Wumoxes do not survive in deserts.,W,Gazelles survive in deserts.,Gazelles,Yebs,1,W-case,Nonsense
Gazelles survive in deserts. A Yeb is a gazelle.,A Yeb survives in deserts.,Rattlesnakes are not gazelles. Rattlesnakes survive in deserts.,N,Gazelles survive in deserts.,Gazelles,Yebs,1,S-alt,Real
Gazelles survive in deserts. A Yeb is a gazelle.,A Yeb survives in deserts.,A Wumox is not a gazelle. A Wumox survives in deserts.,N,Gazelles survive in deserts.,Gazelles,Yebs,1,S-alt,Nonsense
Gazelles survive in deserts. A Yeb is a gazelle.,A Yeb survives in deserts.,Gazelles survive in savannas.,N,Gazelles survive in deserts.,Gazelles,Yebs,1,N-prop,Real
Gazelles survive in deserts. A red-fronted gazelle is a gazelle. A Yeb is a red-fronted gazelle.,A Yeb survives in deserts.,A red-fronted gazelle survives in deserts.,S,Gazelles survive in deserts.,Gazelles,Yebs,2,S-case,Real
Gazelles survive in deserts. Gazelles that are not able to find food and water are gazelles. Yebs are gazelles that are not able to find food and water.,A Yeb survives in deserts.,Gazelles that are not able to find food and water do not survive in deserts.,W,Gazelles survive in deserts.,Gazelles,Yebs,2,W-case,Real
Gazelles survive in deserts. A Bafu is a gazelle. A Yeb is a Bafu.,A Yeb survives in deserts.,A Bafu survives in deserts,S,Gazelles survive in deserts.,Gazelles,Yebs,2,S-case,Nonsense
Gazelles survive in deserts. A Bafu is a gazelle. A Yeb is a Bafu.,A Yeb survives in deserts.,Bafus do not survive in deserts,W,Gazelles survive in deserts.,Gazelles,Yebs,2,W-case,Nonsense
Lions kill food. A Yeb is a lion.,A Yeb kills food.,"A lion is a lion. A lion,tigers,leopards,cheetahs kill food.",S,Lions kill food.,Lions,Yebs,1,S-case,Real
Lions kill food. A Yeb is a lion.,A Yeb kills food.,"A Wumox is a lion. A Wumox ,tigers,leopards,cheetahs kill food.",S,Lions kill food.,Lions,Yebs,1,S-case,Nonsense
Lions kill food. A Yeb is a lion.,A Yeb kills food.,Lions that are too young or old to hunt are lions. Lions that are too young or old to hunt do not kill food.,W,Lions kill food.,Lions,Yebs,1,W-case,Real
Lions kill food. A Yeb is a lion.,A Yeb kills food.,A Wumox is a lion. Wumoxes do not kill food.,W,Lions kill food.,Lions,Yebs,1,W-case,Nonsense
Lions kill food. A Yeb is a lion.,A Yeb kills food.,Carnivores are not lions. Carnivores kill food.,N,Lions kill food.,Lions,Yebs,1,S-alt,Real
Lions kill food. A Yeb is a lion.,A Yeb kills food.,"A Wumox is not a lion. A Wumox ,tigers,leopards,cheetahs kill food.",N,Lions kill food.,Lions,Yebs,1,S-alt,Nonsense
Lions kill food. A Yeb is a lion.,A Yeb kills food.,Lions kill animals to keep them away from their cubs.,N,Lions kill food.,Lions,Yebs,1,N-prop,Real
Lions kill food. A lion is a lion. A Yeb is a lion.,A Yeb kills food.,"A lion,tigers,leopards,cheetahs kill food.",S,Lions kill food.,Lions,Yebs,2,S-case,Real
Lions kill food. Lions that are too young or old to hunt are lions. Yebs are lions that are too young or old to hunt.,A Yeb kills food.,Lions that are too young or old to hunt do not kill food.,W,Lions kill food.,Lions,Yebs,2,W-case,Real
Lions kill food. A Bafu is a lion. A Yeb is a Bafu.,A Yeb kills food.,"A Bafu ,tigers,leopards,cheetahs kill food",S,Lions kill food.,Lions,Yebs,2,S-case,Nonsense
Lions kill food. A Bafu is a lion. A Yeb is a Bafu.,A Yeb kills food.,Bafus do not kill food,W,Lions kill food.,Lions,Yebs,2,W-case,Nonsense
Natural pigment uses in food products. Yebs are natural pigments.,Yebs use in food products.,Pigments of chlorophyll a and b are natural pigments. Pigments of chlorophyll a and b use in food products.,S,Natural pigment uses in food products.,Natural pigment,Yebs,1,S-case,Real
Natural pigment uses in food products. Yebs are natural pigments.,Yebs use in food products.,Wumoxes are natural pigments. Wumoxes use in food products.,S,Natural pigment uses in food products.,Natural pigment,Yebs,1,S-case,Nonsense
Natural pigment uses in food products. Yebs are natural pigments.,Yebs use in food products.,"Natural pigments that contain high levels of lead, mercury, or other heavy metals; are natural pigments. Natural pigments that contain high levels of lead, mercury, or other heavy metals; do not use in food products.",W,Natural pigment uses in food products.,Natural pigment,Yebs,1,W-case,Real
Natural pigment uses in food products. Yebs are natural pigments.,Yebs use in food products.,Wumoxes are natural pigments. Wumoxes do not use in food products.,W,Natural pigment uses in food products.,Natural pigment,Yebs,1,W-case,Nonsense
Natural pigment uses in food products. Yebs are natural pigments.,Yebs use in food products.,Anti-caking agent are not natural pigments. Anti-caking agent uses in food products.,N,Natural pigment uses in food products.,Natural pigment,Yebs,1,S-alt,Real
Natural pigment uses in food products. Yebs are natural pigments.,Yebs use in food products.,Wumoxes are not natural pigments. Wumoxes use in food products.,N,Natural pigment uses in food products.,Natural pigment,Yebs,1,S-alt,Nonsense
Natural pigment uses in food products. Yebs are natural pigments.,Yebs use in food products.,Natural pigment uses in skin care.,N,Natural pigment uses in food products.,Natural pigment,Yebs,1,N-prop,Real
Natural pigment uses in food products. Pigments of chlorophyll a and b are natural pigments. Yebs are pigments of chlorophyll a and b.,Yebs use in food products.,Pigments of chlorophyll a and b use in food products.,S,Natural pigment uses in food products.,Natural pigment,Yebs,2,S-case,Real
"Natural pigment uses in food products. Natural pigments that contain high levels of lead, mercury, or other heavy metals; are natural pigments. Yebs are natural pigments that contain high levels of lead, mercury, or other heavy metals;.",Yebs use in food products.,"Natural pigments that contain high levels of lead, mercury, or other heavy metals; do not use in food products.",W,Natural pigment uses in food products.,Natural pigment,Yebs,2,W-case,Real
Natural pigment uses in food products. Bafus are natural pigments. Yebs are Bafus.,Yebs use in food products.,Bafus use in food products,S,Natural pigment uses in food products.,Natural pigment,Yebs,2,S-case,Nonsense
Natural pigment uses in food products. Bafus are natural pigments. Yebs are Bafus.,Yebs use in food products.,Bafus do not use in food products,W,Natural pigment uses in food products.,Natural pigment,Yebs,2,W-case,Nonsense
Killer whales survive months. Yebs are killer whales.,Yebs survive months.,Pygmy killer whales are killer whales. Pygmy killer whales survive months.,S,Killer whales survive months.,Killer whales,Yebs,1,S-case,Real
Killer whales survive months. Yebs are killer whales.,Yebs survive months.,Wumoxes are killer whales. Wumoxes survive months.,S,Killer whales survive months.,Killer whales,Yebs,1,S-case,Nonsense
Killer whales survive months. Yebs are killer whales.,Yebs survive months.,Killer whales that starve to death because of a lack of food are killer whales. Killer whales that starve to death because of a lack of food do not survive months.,W,Killer whales survive months.,Killer whales,Yebs,1,W-case,Real
Killer whales survive months. Yebs are killer whales.,Yebs survive months.,Wumoxes are killer whales. Wumoxes do not survive months.,W,Killer whales survive months.,Killer whales,Yebs,1,W-case,Nonsense
Killer whales survive months. Yebs are killer whales.,Yebs survive months.,Alaskan malamutes are not killer whales. Alaskan Malamutes survive months.,N,Killer whales survive months.,Killer whales,Yebs,1,S-alt,Real
Killer whales survive months. Yebs are killer whales.,Yebs survive months.,Wumoxes are not killer whales. Wumoxes survive months.,N,Killer whales survive months.,Killer whales,Yebs,1,S-alt,Nonsense
Killer whales survive months. Yebs are killer whales.,Yebs survive months.,Killer whales survive when they are young.,N,Killer whales survive months.,Killer whales,Yebs,1,N-prop,Real
Killer whales survive months. Pygmy killer whales are killer whales. Yebs are pygmy killer whales.,Yebs survive months.,Pygmy killer whales survive months.,S,Killer whales survive months.,Killer whales,Yebs,2,S-case,Real
Killer whales survive months. Killer whales that starve to death because of a lack of food are killer whales. Yebs are killer whales that starve to death because of a lack of food.,Yebs survive months.,Killer whales that starve to death because of a lack of food do not survive months.,W,Killer whales survive months.,Killer whales,Yebs,2,W-case,Real
Killer whales survive months. Bafus are killer whales. Yebs are Bafus.,Yebs survive months.,Bafus survive months,S,Killer whales survive months.,Killer whales,Yebs,2,S-case,Nonsense
Killer whales survive months. Bafus are killer whales. Yebs are Bafus.,Yebs survive months.,Bafus do not survive months,W,Killer whales survive months.,Killer whales,Yebs,2,W-case,Nonsense
Mice have dark fur. A Yeb is a mouse.,A Yeb has dark fur.,A house mouse is a mouse. A house mouse has dark fur.,S,Mice have dark fur.,Mice,Yebs,1,S-case,Real
Mice have dark fur. A Yeb is a mouse.,A Yeb has dark fur.,A Wumox is a mouse. A Wumox has dark fur.,S,Mice have dark fur.,Mice,Yebs,1,S-case,Nonsense
Mice have dark fur. A Yeb is a mouse.,A Yeb has dark fur.,Mice that are albino are mice. Mice that are albino do not have dark fur.,W,Mice have dark fur.,Mice,Yebs,1,W-case,Real
Mice have dark fur. A Yeb is a mouse.,A Yeb has dark fur.,A Wumox is a mouse. Wumoxes do not have dark fur.,W,Mice have dark fur.,Mice,Yebs,1,W-case,Nonsense
Mice have dark fur. A Yeb is a mouse.,A Yeb has dark fur.,Hedgehogs are not mice. Hedgehogs have dark fur.,N,Mice have dark fur.,Mice,Yebs,1,S-alt,Real
Mice have dark fur. A Yeb is a mouse.,A Yeb has dark fur.,A Wumox is not a mouse. A Wumox has dark fur.,N,Mice have dark fur.,Mice,Yebs,1,S-alt,Nonsense
Mice have dark fur. A Yeb is a mouse.,A Yeb has dark fur.,Mice have big ears.,N,Mice have dark fur.,Mice,Yebs,1,N-prop,Real
Mice have dark fur. A house mouse is a mouse. A Yeb is a house mouse.,A Yeb has dark fur.,A house mouse has dark fur.,S,Mice have dark fur.,Mice,Yebs,2,S-case,Real
Mice have dark fur. Mice that are albino are mice. Yebs are mice that are albino.,A Yeb has dark fur.,Mice that are albino do not have dark fur.,W,Mice have dark fur.,Mice,Yebs,2,W-case,Real
Mice have dark fur. A Bafu is a mouse. A Yeb is a Bafu.,A Yeb has dark fur.,A Bafu has dark fur,S,Mice have dark fur.,Mice,Yebs,2,S-case,Nonsense
Mice have dark fur. A Bafu is a mouse. A Yeb is a Bafu.,A Yeb has dark fur.,Bafus do not have dark fur,W,Mice have dark fur.,Mice,Yebs,2,W-case,Nonsense
Squirrels have few natural predators. Goqs are squirrels.,Goqs have few natural predators.,Ground squirrels are squirrels. Ground squirrels have few natural predators.,S,Squirrels have few natural predators.,Squirrels,Goqs,1,S-case,Real
Squirrels have few natural predators. Goqs are squirrels.,Goqs have few natural predators.,Dofiks are squirrels. Dofiks have few natural predators.,S,Squirrels have few natural predators.,Squirrels,Goqs,1,S-case,Nonsense
Squirrels have few natural predators. Goqs are squirrels.,Goqs have few natural predators.,Squirrels that live close to humans are squirrels. Squirrels that live close to humans do not have few natural predators.,W,Squirrels have few natural predators.,Squirrels,Goqs,1,W-case,Real
Squirrels have few natural predators. Goqs are squirrels.,Goqs have few natural predators.,Dofiks are squirrels. Dofiks do not have few natural predators.,W,Squirrels have few natural predators.,Squirrels,Goqs,1,W-case,Nonsense
Squirrels have few natural predators. Goqs are squirrels.,Goqs have few natural predators.,Cheetahs are not squirrels. Cheetahs have few natural predators.,N,Squirrels have few natural predators.,Squirrels,Goqs,1,S-alt,Real
Squirrels have few natural predators. Goqs are squirrels.,Goqs have few natural predators.,Dofiks are not squirrels. Dofiks have few natural predators.,N,Squirrels have few natural predators.,Squirrels,Goqs,1,S-alt,Nonsense
Squirrels have few natural predators. Ground squirrels are squirrels. Goqs are ground squirrels.,Goqs have few natural predators.,Ground squirrels have few natural predators.,S,Squirrels have few natural predators.,Squirrels,Goqs,2,S-case,Real
